date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:05:06	24093/24093	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%229691e074ad97a99fe7dd3d90e5d675af%22	https://next-sass-html.vercel.app/robots.txt		(from )
17:05:07	279839/279839	---MCZ	200	added ('OK')	text/html	etag:W/%2264a855dee1ebff44aaef58aa04a3d901%22	https://next-sass-html.vercel.app/	./next-theme/next-sass-html.vercel.app/index.html	(from )
17:05:07	3624/3624	---M--	200	added ('OK')	image/png	etag:%227c7a3cf086a2bcd457afa801a7e18806%22	https://next-sass-html.vercel.app/favicon-96x96.png	./next-theme/next-sass-html.vercel.app/favicon-96x96.png	(from https://next-sass-html.vercel.app/)
17:05:08	1422/1422	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220bd88cfe7fbe8cb0dc194eb0f13f94e8%22	https://next-sass-html.vercel.app/favicon.svg	./next-theme/next-sass-html.vercel.app/favicon.svg	(from https://next-sass-html.vercel.app/)
17:05:09	15086/15086	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%226b7c0132cfee16e688ee7c6d96e2edd3%22	https://next-sass-html.vercel.app/favicon.ico	./next-theme/next-sass-html.vercel.app/favicon.ico	(from https://next-sass-html.vercel.app/)
17:05:10	6647/6647	---M--	200	added ('OK')	image/png	etag:%222ffa9e29fffd84511757db468b351b19%22	https://next-sass-html.vercel.app/apple-touch-icon.png	./next-theme/next-sass-html.vercel.app/apple-touch-icon.png	(from https://next-sass-html.vercel.app/)
17:05:11	433/433	---M--	200	added ('OK')	application/manifest+json	etag:%22f3b7435a069bf0e30a987a045cbca5cf%22	https://next-sass-html.vercel.app/site.webmanifest	./next-theme/next-sass-html.vercel.app/site.webmanifest	(from https://next-sass-html.vercel.app/)
17:05:13	597408/597408	---MCZ	200	added ('OK')	text/css	etag:W/%22eb9a204b7fae858e3d8516b344ca1e5f%22	https://next-sass-html.vercel.app/assets/main.css	./next-theme/next-sass-html.vercel.app/assets/main.css	(from https://next-sass-html.vercel.app/)
17:05:14	279838/279838	---MCZ	200	added ('OK')	text/html	etag:W/%22bd1287b446a01088972dec470c0ba383%22	https://next-sass-html.vercel.app/financial-management-platform.html	./next-theme/next-sass-html.vercel.app/financial-management-platform.html	(from https://next-sass-html.vercel.app/)
17:05:15	7866/7866	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f59d936efacdb14f2d777b743e7daded%22	https://next-sass-html.vercel.app/images/shared/main-logo.svg	./next-theme/next-sass-html.vercel.app/images/shared/main-logo.svg	(from https://next-sass-html.vercel.app/)
17:05:16	1093/1093	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22892a0fe72e76e3743f8843cc1a4d721d%22	https://next-sass-html.vercel.app/images/shared/logo.svg	./next-theme/next-sass-html.vercel.app/images/shared/logo.svg	(from https://next-sass-html.vercel.app/)
17:05:17	198688/198688	---MCZ	200	added ('OK')	text/html	etag:W/%2250255eee2ad22dcdaec8bb7a521fc90b%22	https://next-sass-html.vercel.app/financial-management-platform-about.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-about.html	(from https://next-sass-html.vercel.app/)
17:05:18	238114/238114	---MCZ	200	added ('OK')	text/html	etag:W/%227fa8627230155618ef857486e0c0433f%22	https://next-sass-html.vercel.app/financial-management-platform-team.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-team.html	(from https://next-sass-html.vercel.app/)
17:05:19	115885/115885	---MCZ	200	added ('OK')	text/html	etag:W/%2293563a68ce5937886be91d9bf6f9749f%22	https://next-sass-html.vercel.app/financial-management-platform-career.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-career.html	(from https://next-sass-html.vercel.app/)
17:05:20	235599/235599	---MCZ	200	added ('OK')	text/html	etag:W/%222bdd72ed81b32fc893ef312b1ff6efba%22	https://next-sass-html.vercel.app/financial-management-platform-features.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-features.html	(from https://next-sass-html.vercel.app/)
17:05:21	110085/110085	---MCZ	200	added ('OK')	text/html	etag:W/%22832af2e034a3c098db2b0ac2f7978eb8%22	https://next-sass-html.vercel.app/financial-management-platform-integration.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-integration.html	(from https://next-sass-html.vercel.app/)
17:05:22	107169/107169	---MCZ	200	added ('OK')	text/html	etag:W/%22de2d10383c859bb679846fc0edea9d1a%22	https://next-sass-html.vercel.app/financial-management-platform-process.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-process.html	(from https://next-sass-html.vercel.app/)
17:05:23	158569/158569	---MCZ	200	added ('OK')	text/html	etag:W/%22bfc2ecff6a9cfc3055c433b63e4bc72e%22	https://next-sass-html.vercel.app/financial-management-platform-press.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-press.html	(from https://next-sass-html.vercel.app/)
17:05:24	133419/133419	---MCZ	200	added ('OK')	text/html	etag:W/%225b66801ead0dcdce782df3172173f071%22	https://next-sass-html.vercel.app/financial-management-platform-services.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-services.html	(from https://next-sass-html.vercel.app/)
17:05:25	139841/139841	---MCZ	200	added ('OK')	text/html	etag:W/%228bbf9ad65bdde327dfa78efc4fac2b38%22	https://next-sass-html.vercel.app/financial-management-platform-blog.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-blog.html	(from https://next-sass-html.vercel.app/)
17:05:26	139627/139627	---MCZ	200	added ('OK')	text/html	etag:W/%22f255c9a3eef25d18d4066b4f59ac2dfc%22	https://next-sass-html.vercel.app/financial-management-platform-faq.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-faq.html	(from https://next-sass-html.vercel.app/)
17:05:28	167500/167500	---MCZ	200	added ('OK')	text/html	etag:W/%224c466341a0461e0308be8bc959cb8975%22	https://next-sass-html.vercel.app/financial-management-platform-tutorial.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-tutorial.html	(from https://next-sass-html.vercel.app/)
17:05:29	125302/125302	---MCZ	200	added ('OK')	text/html	etag:W/%22943ffbe76a17826d3c4c567a4ebd9493%22	https://next-sass-html.vercel.app/financial-management-platform-pricing.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-pricing.html	(from https://next-sass-html.vercel.app/)
17:05:30	100089/100089	---MCZ	200	added ('OK')	text/html	etag:W/%2232dc3a87e3a672307a699cc8b7218e10%22	https://next-sass-html.vercel.app/financial-management-platform-login.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-login.html	(from https://next-sass-html.vercel.app/)
17:05:31	99662/99662	---MCZ	200	added ('OK')	text/html	etag:W/%22e3c42f4218c2bc43b19e787fdba4e64a%22	https://next-sass-html.vercel.app/financial-management-platform-signup.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-signup.html	(from https://next-sass-html.vercel.app/)
17:05:32	104811/104811	---MCZ	200	added ('OK')	text/html	etag:W/%2293a9fef9d071c4fa735665e4d1eda84d%22	https://next-sass-html.vercel.app/financial-management-platform-contact.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-contact.html	(from https://next-sass-html.vercel.app/)
17:05:33	115284/115284	---MCZ	200	added ('OK')	text/html	etag:W/%22b8c99b4e6809b1be99679673bdf8e70c%22	https://next-sass-html.vercel.app/financial-management-platform-testimonial.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-testimonial.html	(from https://next-sass-html.vercel.app/)
17:05:34	133827/133827	---MCZ	200	added ('OK')	text/html	etag:W/%22fddaa884eca2c0d291e9aa7b32b9df7f%22	https://next-sass-html.vercel.app/financial-management-platform-customer.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-customer.html	(from https://next-sass-html.vercel.app/)
17:05:35	109509/109509	---MCZ	200	added ('OK')	text/html	etag:W/%2251d8012718309f408bec6fe466b4a651%22	https://next-sass-html.vercel.app/financial-management-platform-affiliates.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-affiliates.html	(from https://next-sass-html.vercel.app/)
17:05:36	112276/112276	---MCZ	200	added ('OK')	text/html	etag:W/%22293698200131992bb0c078e437bb0339%22	https://next-sass-html.vercel.app/financial-management-platform-analytics.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-analytics.html	(from https://next-sass-html.vercel.app/)
17:05:37	123870/123870	---MCZ	200	added ('OK')	text/html	etag:W/%2275a18ea62417eee07d03e34fbb758ee7%22	https://next-sass-html.vercel.app/financial-management-platform-whitepaper.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-whitepaper.html	(from https://next-sass-html.vercel.app/)
17:05:38	138960/138960	---MCZ	200	added ('OK')	text/html	etag:W/%22c44ac0b1dbf68750a569bb0183ada1ab%22	https://next-sass-html.vercel.app/financial-management-platform-glossary.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-glossary.html	(from https://next-sass-html.vercel.app/)
17:05:39	138301/138301	---MCZ	200	added ('OK')	text/html	etag:W/%22904478a9d8556f29f937ab93d0575bda%22	https://next-sass-html.vercel.app/financial-management-platform-changelog.html	./next-theme/next-sass-html.vercel.app/financial-management-platform-changelog.html	(from https://next-sass-html.vercel.app/)
